Code,Area (km²),Density (per km²)
AFG,652230,63.0587
ALB,28748,98.8702
DZA,2381741,18.8531
ASM,199,222.4774
AND,468,170.5641
AGO,1246700,28.5466
AIA,91,174.2527
ATG,442,212.1335
ARG,2780400,16.3683
ARM,29743,93.4831
ABW,180,591.3611
AUS,7692024,3.4032
AUT,83871,106.5877
AZE,86600,119.6082
BHS,13943,29.4043
BHR,765,1924.4876
BGD,147570,1160.035
BRB,430,654.9651
BLR,207600,45.9295
BEL,30528,381.8111
BLZ,22966,17.6466
BEN,112622,118.5635
BMU,54,1188.5926
BTN,38394,20.3796
BOL,1098581,11.1272
BIH,51209,63.1437
BWA,582000,4.5194
BRA,8515767,25.2841
VGB,151,207.3179
BRN,5765,77.8841
BGR,110879,61.1654
BFA,272967,83.0641
BDI,27834,463.0874
KHM,181035,92.6221
CMR,475442,58.7128
CAN,9984670,3.8513
CPV,4033,147.0739
CYM,264,260.25
CAF,622984,8.9555
TCD,1284000,13.8032
CHL,756102,25.9274
CHN,9706961,146.8933
COL,1141748,45.4339
COM,1862,449.3953
COK,236,72.0805
CRI,51100,101.3861
HRV,56594,71.2153
CUB,109884,102.0366
CUW,444,430.5473
CYP,9251,135.2814
CZE,78865,133.0627
DNK,43094,136.4984
DJI,23200,48.3125
DMA,751,96.8535
DOM,48671,230.7087
COD,2344858,42.2244
ECU,276841,65.0229
EGY,1002450,110.7188
SLV,21041,301.145
GNQ,28051,59.7094
ERI,117600,31.3268
EST,45227,29.3201
SWZ,17364,69.2047
ETH,1104300,111.7268
FLK,12173,0.3105
FRO,1393,38.112
FJI,18272,50.8847
FIN,338424,16.3722
FRA,551695,117.1419
GUF,83534,3.6459
PYF,4167,73.5011
GAB,267668,8.9252
GMB,10689,253.1567
GEO,69700,53.7214
DEU,357114,233.4544
GHA,238533,140.3406
GIB,6,5441.5
GRC,131990,78.68
GRL,2166086,0.0261
GRD,344,364.6453
GLP,1628,243.0909
GUM,549,312.8852
GTM,108889,163.8725
GGY,78,811.5513
GIN,245857,56.3716
GNB,36125,58.2856
GUY,214969,3.7621
HTI,27750,417.4773
HND,112492,92.7431
HKG,1104,6783.3922
HUN,93028,107.1431
ISL,103000,3.6204
IND,3287590,431.0675
IDN,1904569,144.6529
IRN,1648195,53.7258
IRQ,438317,101.5158
IRL,70273,71.4799
IMN,572,147.7605
ISR,20770,435.1617
ITA,301336,195.9191
CIV,322463,87.3295
JAM,10991,257.2447
JPN,377930,327.9753
JEY,116,954.9828
JOR,89342,126.3221
KAZ,2724900,7.1188
KEN,580367,93.0919
KIR,811,161.815
KWT,17818,239.5821
KGZ,199951,33.1612
LAO,236800,31.7968
LVA,64559,28.666
LBN,10452,525.2334
LSO,30355,75.962
LBR,111369,47.6136
LBY,1759540,3.8717
LIE,160,245.7937
LTU,65300,42.1142
LUX,2586,250.425
MAC,30,23172.2667
MDG,587041,50.4423
MWI,118484,172.22
MYS,330803,102.5934
MDV,300,1745.9567
MLI,1240192,18.2178
MLT,316,1687.6139
MHL,181,229.663
MTQ,1128,325.8041
MRT,1030700,4.5951
MUS,2040,636.9946
MYT,374,871.9278
MEX,1964375,64.9082
FSM,702,162.6268
MDA,33846,96.7026
MCO,2,18234.5
MNG,1564110,2.1727
MNE,13812,45.4012
MSR,102,43.0392
MAR,446550,83.883
MOZ,801590,41.1302
MMR,676578,80.0784
NAM,825615,3.1092
NRU,21,603.2381
NPL,147181,207.5511
NLD,41850,419.6897
NCL,18575,15.6097
NZL,270467,19.1716
NIC,130373,53.2962
NER,1267000,20.6851
NGA,923768,236.5759
NIU,260,7.4385
PRK,120538,216.2755
MKD,25713,81.4218
NFK,464,106.7909
NOR,323802,16.7828
OMN,309500,14.7861
PAK,881912,267.4018
PLW,459,39.3355
PSE,6220,844.063
PAN,75417,58.4561
PNG,462840,21.9139
PRY,406752,16.6705
PER,1285216,26.4933
PHL,342353,337.5434
POL,312679,127.4698
PRT,92090,111.5307
PRI,8870,366.675
QAT,11586,232.6189
COG,342000,17.4574
REU,2511,387.914
ROU,238391,82.4665
RUS,17098242,8.4636
RWA,26338,523.0731
BLM,21,522.2381
KNA,261,182.5939
LCA,616,291.9756
MAF,53,599.8302
SPM,242,24.2231
VCT,389,267.2185
WSM,2842,78.2484
SMR,61,551.8033
STP,964,235.8714
SAU,2149690,16.9368
SEN,196722,88.025
SRB,88361,81.7257
SYC,452,236.9867
SLE,71740,119.957
SGP,710,8416.4634
SXM,34,1299.2647
SVK,49037,115.0856
SVN,20273,104.5649
SLB,28896,25.0648
SOM,637657,27.5971
ZAF,1221037,49.0517
KOR,100210,517.0722
SSD,619745,17.6091
ESP,505992,93.9909
LKA,65610,332.7563
SDN,1886068,24.8529
SUR,163820,3.7727
SWE,450295,23.4276
CHE,41284,211.7157
SYR,185180,119.4797
TWN,36193,660.1662
TJK,143100,69.5513
TZA,945087,69.3034
THA,513120,139.7276
TLS,14874,90.1772
TGO,56785,155.8281
TKL,12,155.9167
TON,747,143.0495
TTO,5130,298.4491
TUN,163610,75.5218
TUR,783562,108.9145
TKM,488100,13.1751
TCA,948,48.2099
TUV,26,435.0769
UGA,241550,195.61
UKR,603500,65.7858
ARE,83600,112.9322
GBR,242900,277.9289
USA,9372610,36.0935
VIR,347,286.6427
URY,181034,18.9069
UZB,447400,77.3975
VUT,12189,26.8061
VAT,1,510
VEN,916445,30.882
VNM,331212,296.4472
WLF,142,81.493
ESH,266000,2.1654
YEM,527968,63.8232
ZMB,752612,26.5976
ZWE,390757,41.7665
